soa_term,soa_description,agentic_term,agentic_description
Service / Microservice,"A discrete unit of functionality that can be accessed remotely and acted upon independently, deployed and versioned on its own so that changing it does not require changing its consumers.",Agent,"An autonomous AI entity that can perform specific tasks, make decisions, and interact with other agents, choosing how to accomplish an objective rather than following a fixed sequence of steps."
Microservices,"Architectural approach using small, independently deployable services, each owning a narrow slice of business capability so teams can build, release, and scale them separately.",Agent Tools,"Specialized, focused AI agents designed for specific tasks within larger systems, narrow enough to be reasoned about, tested, and replaced individually rather than as part of one monolithic agent."
Common Services,"Reusable services that provide shared functionality across multiple applications — authentication, notification, document generation — maintained once and consumed everywhere.",Agentic Tools,"Reusable AI capabilities and functions that agents can utilize to perform common tasks, exposed as a shared library so every agent does not reimplement the same retrieval, extraction, or calculation."
Service Contract,"A formal specification defining how to interact with a service, including inputs, outputs, and constraints, so consumers integrate against the contract rather than the implementation.",Agent Contract,"A specification defining an agent's capabilities, interaction protocols, and behavioral constraints — what it may do on its own, what it must escalate, and what callers can rely on."
Service Registry,"A directory where services are published and can be discovered by consumers, holding the endpoint, version, and contract for each registered service.",Agent Catalog,"A repository where agents are registered and can be discovered by other agents or orchestrators, recording each agent's capabilities, ownership, and permitted scope."
Service Discovery,"A dynamic mechanism for locating available services at runtime, resolving which instance to call as deployments scale up and down.",Agent Discovery,"A dynamic mechanism for locating available agents and their current capabilities at runtime, so work is routed to whichever agent is actually able and permitted to handle it."
Service Bus (ESB),"Enterprise service bus providing message routing, transformation, and integration capabilities, so systems that do not share a data format can still exchange work.",Execution Mesh,"Central orchestration layer managing agent lifecycle, routing, and coordination, carrying work between agents and the systems they act on."
API Gateway,"A single entry point managing routing, security, authentication, and rate limiting for service consumers, so those concerns are handled once at the edge rather than in every service.",Agent Gateway,"A single entry point managing routing, authentication, and rate limiting for external systems and human users interacting with agents, and the place where access policy is applied."
Orchestration (BPEL),"Coordinating multiple services to execute complex business processes, with the sequence, branching, and error handling defined centrally.",Agentic Orchestrator,"System that coordinates multiple agents to execute complex automated workflows, assigning work, tracking progress, and deciding what happens when an agent fails or escalates."
Service Choreography,"A peer-to-peer collaboration pattern where services interact directly via events, without central control over the sequence.",Agent Choreography,"A peer-to-peer collaboration pattern where agents coordinate directly through shared events or signals, without a central orchestrator directing each step."
